Percentile	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
Nanopore.A	504000.0	660251.0	767355.0	830587.0	859119.0	917035.0	979526.0	1038565.0	1079905.0	1110580.0	1149006.0	1184617.0	1206901.0	1228439.0	1257888.0	1255476.0	1309623.0	1353683.0	1377706.0	1401084.0	1425349.0	1458497.0	1478826.0	1510350.0	1512043.0	1529262.0	1557264.0	1593543.0	1617313.0	1636053.0	1693381.0	1709307.0	1723603.0	1742744.0	1762562.0	1788800.0	1803716.0	1843882.0	1856344.0	1886088.0	1896097.0	1933175.0	1979089.0	1995156.0	2014277.0	2012857.0	2028288.0	2061228.0	2102255.0	2124358.0	2168292.0	2169395.0	2203940.0	2219756.0	2247093.0	2264778.0	2270504.0	2286698.0	2308355.0	2340357.0	2371898.0	2388131.0	2395261.0	2414179.0	2436513.0	2462911.0	2514081.0	2551667.0	2569613.0	2582628.0	2609205.0	2640447.0	2670791.0	2691070.0	2716017.0	2743140.0	2790680.0	2836526.0	2859512.0	2891961.0	2946616.0	2962514.0	3013331.0	3034047.0	3065780.0	3091539.0	3146566.0	3158949.0	3212374.0	3223044.0	3299516.0	3293518.0	3336926.0	3410796.0	3401189.0	3418173.0	3411530.0	3413137.0	3283504.0	2425497.0
Nanopore.B	712534.0	900447.0	1042795.0	1139863.0	1184597.0	1281554.0	1374016.0	1452522.0	1517480.0	1570503.0	1610051.0	1660123.0	1695513.0	1738120.0	1779910.0	1794761.0	1859035.0	1912565.0	1948088.0	1969312.0	2018027.0	2064043.0	2087345.0	2140391.0	2144283.0	2173856.0	2216181.0	2268065.0	2294899.0	2339116.0	2410855.0	2415597.0	2436470.0	2456873.0	2482108.0	2516329.0	2533505.0	2585564.0	2607427.0	2639471.0	2661410.0	2717853.0	2774383.0	2795773.0	2830782.0	2841849.0	2870856.0	2924419.0	2970304.0	3005144.0	3064581.0	3072319.0	3121764.0	3151243.0	3193209.0	3220361.0	3257811.0	3291141.0	3330417.0	3386894.0	3428558.0	3454668.0	3455898.0	3508086.0	3542914.0	3586529.0	3661178.0	3703453.0	3734975.0	3761872.0	3808240.0	3854322.0	3896571.0	3934328.0	3987988.0	4028066.0	4102227.0	4176672.0	4224468.0	4270187.0	4364106.0	4391401.0	4486244.0	4533057.0	4597483.0	4645837.0	4749668.0	4789851.0	4872185.0	4897710.0	5013097.0	5038957.0	5112360.0	5236966.0	5242269.0	5312834.0	5336302.0	5350400.0	5170655.0	3840406.0
Nanopore.C	1140063.0	1405173.0	1609346.0	1762307.0	1846783.0	2006300.0	2146806.0	2271814.0	2382201.0	2469088.0	2515239.0	2596977.0	2655373.0	2729727.0	2801197.0	2834074.0	2928717.0	3000663.0	3062862.0	3094233.0	3177295.0	3249539.0	3285823.0	3374714.0	3385638.0	3444131.0	3500891.0	3576498.0	3617659.0	3687656.0	3784257.0	3784250.0	3817802.0	3847160.0	3885458.0	3931404.0	3956589.0	4029755.0	4060801.0	4115075.0	4150783.0	4231892.0	4309324.0	4335896.0	4385602.0	4408465.0	4455217.0	4530882.0	4600169.0	4645022.0	4726824.0	4741286.0	4807523.0	4848594.0	4902497.0	4947395.0	5003853.0	5046860.0	5103010.0	5199657.0	5259318.0	5291725.0	5304911.0	5384166.0	5442351.0	5506112.0	5611764.0	5668729.0	5721206.0	5764535.0	5842972.0	5915321.0	5988152.0	6049615.0	6154001.0	6219314.0	6323411.0	6445518.0	6520764.0	6594352.0	6733020.0	6777419.0	6927354.0	7009373.0	7120039.0	7188428.0	7349534.0	7431937.0	7544974.0	7600517.0	7752219.0	7814504.0	7924868.0	8098765.0	8107712.0	8195735.0	8221971.0	8226606.0	7970370.0	5944169.0
Nanopore.D	1353646.0	1655131.0	1890684.0	2070788.0	2172928.0	2365097.0	2525589.0	2668430.0	2799734.0	2903512.0	2955696.0	3054443.0	3125456.0	3211639.0	3301153.0	3349723.0	3443814.0	3525562.0	3602395.0	3631209.0	3731073.0	3816825.0	3863619.0	3967163.0	3979233.0	4050345.0	4118915.0	4205534.0	4254014.0	4331153.0	4440049.0	4439784.0	4476344.0	4512751.0	4555142.0	4606598.0	4635422.0	4723045.0	4759480.0	4828108.0	4869219.0	4963969.0	5052154.0	5081776.0	5144487.0	5177069.0	5230234.0	5319199.0	5397120.0	5446241.0	5545593.0	5567990.0	5641931.0	5694313.0	5759588.0	5819314.0	5887051.0	5939526.0	6008651.0	6117998.0	6195589.0	6235369.0	6266104.0	6356346.0	6426007.0	6501059.0	6622835.0	6692222.0	6756002.0	6814047.0	6909298.0	6990002.0	7074530.0	7152180.0	7278279.0	7354129.0	7480876.0	7629731.0	7725993.0	7815071.0	7971536.0	8037596.0	8208182.0	8313629.0	8455379.0	8547986.0	8730472.0	8835749.0	8974526.0	9050190.0	9217581.0	9308126.0	9440589.0	9643987.0	9652711.0	9760764.0	9787930.0	9798465.0	9503534.0	7091271.0
Illumina.A	360177.0	372084.0	381385.0	378574.0	383032.0	380032.0	386187.0	399931.0	405567.0	397363.0	401679.0	418237.0	410182.0	405666.0	415734.0	420484.0	421571.0	428149.0	462304.0	470698.0	493327.0	507381.0	528011.0	559339.0	580710.0	598680.0	624211.0	652979.0	683708.0	701989.0	737917.0	758757.0	785008.0	810151.0	850258.0	874060.0	913524.0	966490.0	1002345.0	1031095.0	1061238.0	1081877.0	1128998.0	1161990.0	1217310.0	1266674.0	1320608.0	1372521.0	1429958.0	1499050.0	1568799.0	1597307.0	1652386.0	1720149.0	1770254.0	1840262.0	1884101.0	1940902.0	2013187.0	2082529.0	2163724.0	2229042.0	2293782.0	2371412.0	2451528.0	2535389.0	2624774.0	2720914.0	2801630.0	2891982.0	2980614.0	3053943.0	3143940.0	3245005.0	3305850.0	3398962.0	3457140.0	3509937.0	3579651.0	3664696.0	3746360.0	3837296.0	3953381.0	4044227.0	4118382.0	4198213.0	4290684.0	4413235.0	4511525.0	4622718.0	4745455.0	4897097.0	5040908.0	5183776.0	5294013.0	5366628.0	5400491.0	5335839.0	5041593.0	3775457.0
Illumina.B	576978.0	601922.0	610796.0	606948.0	615756.0	611792.0	624863.0	642800.0	646754.0	630617.0	635973.0	659815.0	651748.0	638958.0	649449.0	658567.0	651807.0	657846.0	695331.0	704725.0	725651.0	745069.0	758982.0	797294.0	817827.0	848391.0	882611.0	927410.0	976790.0	1014166.0	1059694.0	1090935.0	1135898.0	1166962.0	1233371.0	1269265.0	1319838.0	1401287.0	1459241.0	1501832.0	1547719.0	1572336.0	1638475.0	1695435.0	1777441.0	1855350.0	1933839.0	2005128.0	2097240.0	2193006.0	2285114.0	2331693.0	2409128.0	2508727.0	2591352.0	2711682.0	2786707.0	2878570.0	3000342.0	3117876.0	3257755.0	3366607.0	3484285.0	3624912.0	3754717.0	3894525.0	4046775.0	4194508.0	4342589.0	4506729.0	4667439.0	4803009.0	4952837.0	5121675.0	5249870.0	5424527.0	5550787.0	5681484.0	5831991.0	5991215.0	6142598.0	6322449.0	6553221.0	6739187.0	6925986.0	7106010.0	7326320.0	7576628.0	7809102.0	8058088.0	8338996.0	8664045.0	8980134.0	9322354.0	9635402.0	9916252.0	10110309.0	10124888.0	9642442.0	7189102.0
Illumina.C	891588.0	943039.0	961608.0	957675.0	977771.0	973632.0	988171.0	1010856.0	1020797.0	1000238.0	1004556.0	1030261.0	1020247.0	1016070.0	1035341.0	1052941.0	1041397.0	1050959.0	1099451.0	1110685.0	1144577.0	1170982.0	1191660.0	1250357.0	1279192.0	1311808.0	1361766.0	1427762.0	1497118.0	1545888.0	1616088.0	1664200.0	1726849.0	1774738.0	1868753.0	1919952.0	1997321.0	2111655.0	2201279.0	2263749.0	2320407.0	2371807.0	2467454.0	2561232.0	2664779.0	2772797.0	2876816.0	2985289.0	3100221.0	3233497.0	3353859.0	3422671.0	3539050.0	3677795.0	3782977.0	3938859.0	4051557.0	4184002.0	4333358.0	4500883.0	4672592.0	4808397.0	4947874.0	5119363.0	5272047.0	5456659.0	5661631.0	5853182.0	6032787.0	6219160.0	6412878.0	6563012.0	6743302.0	6925567.0	7073438.0	7270540.0	7434344.0	7599740.0	7790668.0	7978519.0	8154154.0	8379684.0	8651780.0	8873940.0	9104143.0	9324095.0	9587755.0	9858743.0	10113003.0	10397002.0	10715277.0	11065666.0	11384585.0	11689775.0	11968144.0	12148117.0	12141312.0	11861407.0	11018622.0	8221918.0
Illumina.D	1204297.0	1280608.0	1307839.0	1305547.0	1335888.0	1339661.0	1356795.0	1379573.0	1397786.0	1379586.0	1376142.0	1403566.0	1392282.0	1387057.0	1414339.0	1438596.0	1429126.0	1434503.0	1494714.0	1521950.0	1565308.0	1604483.0	1635112.0	1703816.0	1743702.0	1775502.0	1835474.0	1918719.0	2022798.0	2087836.0	2185193.0	2242845.0	2323105.0	2387888.0	2508130.0	2583837.0	2678698.0	2824232.0	2936004.0	3012867.0	3077785.0	3149431.0	3270870.0	3390808.0	3513957.0	3639576.0	3768618.0	3903943.0	4036647.0	4199607.0	4349869.0	4437312.0	4585845.0	4754073.0	4877115.0	5069717.0	5207432.0	5363743.0	5528014.0	5723103.0	5912476.0	6068555.0	6231093.0	6426982.0	6603836.0	6803723.0	7030095.0	7231797.0	7420458.0	7623887.0	7837128.0	8016083.0	8223580.0	8426779.0	8584817.0	8813898.0	9013552.0	9212831.0	9443807.0	9680601.0	9895647.0	10183492.0	10512100.0	10803013.0	11091915.0	11381474.0	11737104.0	12094898.0	12430814.0	12781377.0	13163561.0	13598757.0	14002218.0	14398872.0	14746353.0	14972644.0	15005037.0	14728573.0	13764115.0	10285156.0
